ReefSiteName,Latitude,Longitude,Date,DecimalDate,Temperature,Salinity,TA,DIC
B33,32.32957,-64.8176,20070615,2007.452055,24.4,36.6591,2353.44,2058.26
B33,32.32957,-64.8176,20070716,2007.536986,27.9,NaN,2324.37,2038.05
B33,32.32957,-64.8176,20070814,2007.616438,28.8,36.2722,2301.67,1986.09
B33,32.32957,-64.8176,20070918,2007.712329,28,36.4405,2273.97,1991.51
B33,32.32957,-64.8176,20071019,2007.79726,25.7,36.2947,2297.9,1998.6
B33,32.32957,-64.8176,20071119,2007.882192,21.1,36.4935,2327.89,2024.3
B33,32.32957,-64.8176,20071211,2007.942466,20.6,36.6141,2372.39,2054.28
B33,32.32957,-64.8176,20080111,2008.027322,19.1,36.645,2387.12,NaN
B33,32.32957,-64.8176,20080212,2008.114754,19.7,36.69,2380.3,NaN
B33,32.32957,-64.8176,20080314,2008.199454,20.1,36.8268,2374.53,2076.24
B33,32.32957,-64.8176,20080421,2008.303279,21.4,36.8268,2344.25,NaN
B33,32.32957,-64.8176,20080516,2008.371585,21.4,36.3785,2327.69,NaN
B33,32.32957,-64.8176,20080618,2008.461749,25.7,36.6908,2348.62,NaN
B33,32.32957,-64.8176,20080716,2008.538251,28.4,36.1315,2305.32,NaN
B33,32.32957,-64.8176,20080815,2008.620219,28.1,36.1315,2339.16,2033.64
B33,32.32957,-64.8176,20080917,2008.710383,28.9,NaN,2308.91,NaN
B33,32.32957,-64.8176,20081017,2008.79235,24.3,NaN,2330.67,2005.9
B33,32.32957,-64.8176,20081114,2008.868852,22.5,NaN,2339.81,2027.27
B33,32.32957,-64.8176,20081219,2008.964481,19.9,36.713,2385.71,2067.53
B33,32.32957,-64.8176,20090115,2009.038356,19.8,36.5818,2389.31,2067.5
B33,32.32957,-64.8176,20090221,2009.139726,17.8,36.4549,2390.32,2071.64
B33,32.32957,-64.8176,20090316,2009.20274,19.7,36.7123,2383.23,2069.7
B33,32.32957,-64.8176,20090413,2009.279452,20.5,36.7135,2381.59,2086.1
B33,32.32957,-64.8176,20090518,2009.375342,23.4,37.0137,2365.05,2054.68
B33,32.32957,-64.8176,20090617,2009.457534,26.5,36.6701,2357.64,2050.81
B33,32.32957,-64.8176,20090715,2009.534247,27.9,36.331,2320.4,1987.87
B33,32.32957,-64.8176,20090814,2009.616438,30.2,36.5259,2293.89,1991.43
B33,32.32957,-64.8176,20090916,2009.706849,28.6,36.4832,2284.38,1987.31
B33,32.32957,-64.8176,20091023,2009.808219,24.7,36.1382,2283.07,2000.49
B33,32.32957,-64.8176,20091116,2009.873973,22.4,36.1986,2294.67,2010.23
B33,32.32957,-64.8176,20091215,2009.953425,20.5,36.5127,2349.25,2056.5
B33,32.32957,-64.8176,20100115,2010.038356,16.8,36.6168,2395.58,2135.44
B33,32.32957,-64.8176,20100216,2010.126027,17,36.6735,2402.54,2087.44
B33,32.32957,-64.8176,20100315,2010.2,18.1,36.5812,2394.73,2069.93
B33,32.32957,-64.8176,20100413,2010.279452,20.4,36.6496,2383.78,2075.68
B33,32.32957,-64.8176,20100515,2010.367123,22.6,36.933,2391.91,2074.71
B33,32.32957,-64.8176,20100618,2010.460274,25.9,36.8517,2342.94,2035.47
B33,32.32957,-64.8176,20100716,2010.536986,28.7,36.8571,2327,2013.1
B33,32.32957,-64.8176,20100817,2010.624658,29.4,36.6879,2280.26,2039.77
B33,32.32957,-64.8176,20100917,2010.710959,27.6,36.4585,2299.64,1998.3
B33,32.32957,-64.8176,NaN,NaN,NaN,NaN,NaN,NaN
B33,32.32957,-64.8176,20101016,2010.789041,26,36.6462,2302.13,1987.81
B33,32.32957,-64.8176,20101117,2010.876712,22.1,36.6993,2350.94,2083.31
B33,32.32957,-64.8176,20101211,2010.942466,18.2,36.7636,2388.67,2071.34
B33,32.32957,-64.8176,20110117,2011.043836,16.9,36.7843,2390.02,2089.84
B33,32.32957,-64.8176,20110217,2011.128767,17.7,36.7298,2373.78,2067.84
B33,32.32957,-64.8176,20110315,2011.2,18.8,36.7808,2389.12,2087.6
B33,32.32957,-64.8176,20110415,2011.284932,20.4,36.6417,2374.67,2077.26
B33,32.32957,-64.8176,20110516,2011.369863,22.2,36.9522,2374.96,2072.27
B33,32.32957,-64.8176,20110613,2011.446575,25.4,37.0219,2354.71,2045.23
B33,32.32957,-64.8176,20110713,2011.528767,29.2,36.908,2313.96,2009.1
B33,32.32957,-64.8176,20110826,2011.649315,29.5,36.8127,2294.88,1997.17
B33,32.32957,-64.8176,20110916,2011.706849,27.4,36.4784,2315.38,2037.34
B33,32.32957,-64.8176,20111012,2011.778082,25.2,36.5773,2279.38,1997.22
